t,lat,lon,altitude_m,speed_kmh,heading_deg,gps_dop,gps_sats,dist_m,arc_m,slope_pct,slope_deg,g_vertical,g_lateral,g_longitudinal,g_lateral_peak,g_long_peak,in_curve
0.0,43.49463055555556,13.500294444444444,99.7,39.3068,100.3,0.68,14,0.0,0.0,,,0.9234,0.106,0.2275,0.3477,0.772,True
0.0,43.49448888888889,13.5007,103.2,0.0,,0.68,14,36.309,0.0,9.64,5.506,,,,,,True
0.0,43.494419444444446,13.500791666666666,104.3,0.0,,0.68,14,10.691,0.0,10.29,5.874,,,,,,True
0.0,43.494347222222224,13.500872222222222,105.8,0.0,,0.68,14,10.33,0.0,14.52,8.262,,,,,,True
0.0,43.49418333333333,13.500980555555556,107.6,0.0,,0.68,14,20.211,0.0,8.91,5.089,,,,,,True
0.0,43.49409722222222,13.501011111111112,108.7,0.0,,0.68,14,9.887,0.0,11.13,6.348,,,,,,True
0.0,43.493925000000004,13.50105,111.0,0.0,,0.7,14,19.405,0.0,11.85,6.759,,,,,,True
0.0,43.493830555555554,13.501066666666667,112.0,0.0,,0.68,15,10.587,0.0,9.45,5.396,,,,,,True
0.0,43.49373055555556,13.501083333333334,113.0,0.0,,0.68,14,11.2,0.0,8.93,5.102,,,,,,True
0.0,43.493625,13.501105555555556,114.0,0.0,,0.68,14,11.873,0.0,8.42,4.814,,,,,,True
0.0,43.49351388888889,13.501138888888889,114.8,0.0,,0.68,14,12.644,0.0,6.33,3.62,,,,,,True
0.0,43.49316666666667,13.501302777777777,116.4,0.0,,0.68,14,40.81,0.0,3.92,2.245,,,,,,True
0.0,43.49292222222223,13.501430555555556,117.0,0.0,,0.68,14,29.07,0.0,2.06,1.182,,,,,,True
0.0,43.492802777777776,13.501491666666666,117.0,0.0,,0.73,13,14.167,0.0,0.0,0.0,,,,,,True
0.0,43.492580555555556,13.501602777777778,117.7,0.0,,0.75,12,26.285,0.0,2.66,1.525,,,,,,True
0.1,43.49462777777778,13.500308333333333,99.8,39.668,100.19,0.68,14,250.447,1.102,-7.15,-4.088,0.931,-0.0266,0.2634,0.3032,0.8491,True
0.2,43.494625,13.500319444444445,99.8,39.2994,101.43,0.68,14,0.948,1.092,0.0,0.0,0.9447,0.0125,0.2474,0.3042,0.6182,True
0.3,43.494622222222226,13.500347222222222,99.9,39.2235,101.9,0.68,14,2.262,1.09,4.42,2.531,0.9168,0.0139,0.2718,0.293,0.8403,True
0.4,43.494619444444446,13.500361111111111,100.0,38.7494,102.65,0.72,13,1.162,1.076,8.6,4.918,0.9996,0.0127,0.2217,0.3208,0.7769,True
0.5,43.494616666666666,13.500372222222222,100.0,38.5994,102.83,0.72,13,0.948,1.072,0.0,0.0,0.9978,-0.0005,0.2598,0.25,0.7524,True
0.6,43.494616666666666,13.50038611111111,100.1,38.6179,102.94,0.72,13,1.12,1.073,8.93,5.101,0.9424,0.0391,0.1955,0.4219,0.9961,True
0.7,43.49461388888889,13.5004,100.0,38.2068,103.81,0.72,13,1.162,1.061,-8.6,-4.918,1.0271,-0.0124,0.321,0.2515,0.9131,True
0.8,43.49461111111111,13.500411111111111,100.2,38.3234,107.09,0.72,13,0.948,1.065,21.1,11.913,0.9158,0.0566,0.2164,0.291,0.6387,True
0.9,43.49460833333333,13.500425,100.3,38.7661,108.26,0.72,13,1.162,1.077,8.6,4.918,0.971,0.0614,0.2972,0.4175,0.8652,True
1.0,43.49460277777778,13.500438888888889,100.4,38.7272,110.24,0.72,13,1.279,1.076,7.82,4.469,0.9346,0.0434,0.2171,0.269,0.8442,False
1.1,43.4946,13.50045,100.6,0.0,,0.72,13,0.948,0.0,21.1,11.913,0.9682,0.0706,0.2566,0.3252,0.6953,False
1.2,43.494597222222225,13.500461111111111,100.6,38.8087,111.72,0.72,13,0.948,1.078,0.0,0.0,0.96,0.0652,0.2429,0.3032,0.7212,False
1.3,43.494597222222225,13.500461111111111,100.6,38.8087,111.72,0.72,13,0.0,1.078,,,,,,,,True
